player,team,appearances,minutesPlayed,rating,rating_promedio_equipo,rating_relativo,diferencia
Valentín Vidal,Everton de Viña del Mar,11,825,6.71,6.922,0.969,-0.212
Nicolás Johansen,Coquimbo Unido,14,808,6.74,6.959,0.969,-0.219
Eduardo Vargas,Universidad de Chile,13,956,6.77,6.992,0.968,-0.222
Jimmy Martínez,Universidad Católica,14,873,6.81,7.034,0.968,-0.224
Cris Martínez,Huachipato,12,813,6.58,6.805,0.967,-0.225
Bayron Oyarzo,Unión La Calera,14,881,6.56,6.785,0.967,-0.225
Cristián Gutiérrez,Unión La Calera,13,734,6.56,6.785,0.967,-0.225
Gonzalo Sosa,Deportes Limache,15,1047,6.71,6.948,0.966,-0.238
Christian Moreno,Cobresal,11,754,6.57,6.805,0.966,-0.235
Maximiliano Romero,Colo-Colo,14,940,6.74,6.984,0.965,-0.244
Arnaldo Castillo,O'Higgins,15,938,6.61,6.854,0.964,-0.244
Guido Vadalá,Coquimbo Unido,12,824,6.71,6.959,0.964,-0.249
Giovani Chiaverano,Audax Italiano,15,949,6.57,6.815,0.964,-0.245
Augusto Aguirre,Deportes Limache,15,1350,6.69,6.948,0.963,-0.258
Clemente Montes,Universidad Católica,11,700,6.75,7.034,0.96,-0.284
Marcelo Flores,Deportes Limache,15,1307,6.66,6.948,0.959,-0.288
Yahir Salazar,Deportes La Serena,12,1048,6.5,6.804,0.955,-0.304
Jorge Espejo,Universidad de Concepción,12,910,6.45,6.752,0.955,-0.302
Franco Bechtholdt,Cobresal,14,1215,6.5,6.805,0.955,-0.305
Javier Altamirano,Universidad de Chile,15,846,6.67,6.992,0.954,-0.322
Diego Carrasco,Deportes Concepción,8,690,6.39,6.711,0.952,-0.321
Emiliano Ramos,Everton de Viña del Mar,15,816,6.53,6.922,0.943,-0.392
Joaquín Gutiérrez,Deportes La Serena,14,868,6.39,6.804,0.939,-0.414
Alan Robledo,O'Higgins,8,709,6.43,6.854,0.938,-0.424
