goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,rating,player,team,id,team_id
0,3,1,32,45.07,12,54.55,6,60.0,21,2,86.3,44,47.31,1081,5,21,8,13,0,0,0,9,0,0,0,0,0,187,4,762,31,20,31.75,52,55.32,14,18,7,0,13,3,4,0.0,0,0,,0,1,0,7.14,Tomás Alarcón,Colo-Colo,844224,3155
0,0,0,0,0.0,3,100.0,0,0.0,0,0,78.16,3,100.0,360,1,0,0,4,13,9,3,5,0,3,1,1,1,5,0,68,0,0,0.0,17,47.22,0,2,0,0,0,0,0,0.0,0,0,,0,0,0,7.13,Esteban Kirkman,Everton de Viña del Mar,1182260,5032
2,1,0,24,43.64,3,42.86,8,44.44,6,3,78.44,27,43.55,557,10,4,10,12,0,0,0,0,0,0,0,0,0,143,6,302,14,6,26.09,24,66.67,2,0,7,0,17,7,6,11.76,1,1,,0,0,0,7.1,Claudio Aquino,Colo-Colo,340455,3155
1,4,0,60,56.07,9,64.29,2,25.0,36,1,85.7,69,57.02,1215,22,14,6,14,0,0,0,16,1,0,0,0,0,105,1,635,10,1,25.0,33,51.56,26,25,21,0,5,2,2,20.0,0,0,,0,1,0,7.09,Felipe Ogaz,O'Higgins,1177211,3163
8,1,0,18,38.3,12,31.58,10,41.67,7,3,62.77,30,35.29,670,1,4,11,12,0,0,0,8,0,0,0,0,0,30,3,86,11,0,0.0,4,44.44,2,4,1,4,44,23,11,18.18,0,8,,0,0,0,7.06,Javier Correa,Colo-Colo,581780,3155
0,0,0,1,100.0,2,100.0,1,100.0,0,0,67.88,3,100.0,540,0,0,0,6,22,13,9,16,3,0,2,3,2,16,0,93,0,0,0.0,51,53.68,0,7,0,0,0,0,0,0.0,0,0,,0,0,0,7.05,Jorge Pinos,Cobresal,925598,3167
0,2,0,24,70.59,3,60.0,1,100.0,13,0,92.81,27,69.23,646,10,5,1,8,0,0,0,8,2,0,0,0,0,63,0,400,3,0,0.0,26,66.67,8,9,4,0,0,0,0,0.0,0,0,,0,0,0,7.05,Gary Medel,Universidad Católica,22975,3151
1,7,0,58,58.59,24,68.57,5,27.78,29,5,77.36,82,61.19,1083,24,15,4,14,0,0,0,13,3,0,0,0,0,84,5,352,14,16,24.62,24,47.06,13,30,10,1,4,2,1,25.0,0,1,,0,0,0,7.04,Cristián Cuevas,Universidad Católica,324937,3151
0,2,0,20,64.52,37,56.92,0,0.0,14,0,84.77,57,59.38,909,6,9,2,11,0,0,0,7,2,0,0,0,0,13,0,412,1,0,0.0,21,35.0,7,81,3,0,1,0,0,0.0,0,0,,0,0,0,7.04,Franco Calderón,Universidad de Chile,981341,3161
8,4,0,53,47.75,29,54.72,14,53.85,16,3,74.73,82,50.0,1307,23,14,19,15,0,0,0,16,4,0,0,0,0,136,3,281,16,2,10.0,10,52.63,5,9,17,9,57,17,8,14.04,2,15,,0,0,0,7.03,Justo Giani,Universidad Católica,932866,3151
2,4,0,52,56.52,18,45.0,4,36.36,29,0,79.12,70,53.03,1078,19,14,12,12,0,0,0,15,2,0,0,0,0,120,3,466,14,1,25.0,21,42.0,18,43,11,1,9,3,0,22.22,0,2,,1,0,0,7.03,Gonzalo Escalante,Deportes La Serena,316170,5031
0,1,1,5,83.33,1,100.0,1,100.0,1,0,64.74,6,85.71,1080,3,1,0,12,33,23,10,14,0,8,4,2,5,18,0,202,0,0,0.0,116,51.56,0,4,0,0,0,0,0,0.0,0,0,,1,0,0,7.03,Diego Sánchez,Coquimbo Unido,386218,3165
0,3,1,50,62.5,28,57.14,3,75.0,29,0,87.39,78,60.47,1059,19,12,5,12,0,0,0,12,2,0,0,0,0,59,0,575,5,0,0.0,47,58.02,28,25,12,0,6,1,1,0.0,0,0,,1,1,0,7.03,Juan Manuel Requena,Unión La Calera,965967,48242
